C26.017;Abdominal Injuries;D000007
C04.588;Abdominal Neoplasms;D000008
C16.320;Abetalipoproteinemia;D000012
C18.452;Abetalipoproteinemia;D000012
C16.131;Congenital Abnormalities;D000013
C16.131;Abnormalities, Drug-Induced;D000014
C16.131;Abnormalities, Multiple;D000015
C16.131;Abnormalities, Radiation-Induced;D000016
C26.733;Abnormalities, Radiation-Induced;D000016
C13.703;Abortion, Spontaneous;D000022
C13.703;Abortion, Habitual;D000026
C13.703;Abortion, Incomplete;D000027
C13.703;Abortion, Missed;D000030
C01.539;Abortion, Septic;D000031
C13.703;Abortion, Septic;D000031
C13.703;Abortion, Threatened;D000033
C13.703;Abortion, Veterinary;D000034
C13.703;Abruptio Placentae;D000037
C01.539;Abscess;D000038
C01.539;Peritonsillar Abscess;D000039
C07.550;Peritonsillar Abscess;D000039
C08.730;Peritonsillar Abscess;D000039
C09.775;Peritonsillar Abscess;D000039
C17.800;Acantholysis;D000051
C17.800;Acanthosis Nigricans;D000052
C06.405;Achlorhydria;D000126
C18.452;Achlorhydria;D000126
C05.116;Achondroplasia;D000130
C16.320;Achondroplasia;D000130
C18.452;Acid-Base Imbalance;D000137
C18.452;Acidosis;D000138
C18.452;Acidosis, Lactic;D000140
C12.777;Acidosis, Renal Tubular;D000141
C13.351;Acidosis, Renal Tubular;D000141
C16.320;Acidosis, Renal Tubular;D000141
C18.452;Acidosis, Renal Tubular;D000141
C08.618;Acidosis, Respiratory;D000142
C18.452;Acidosis, Respiratory;D000142
C01.252;Acinetobacter Infections;D000151
C17.800;Acne Vulgaris;D000152
C17.300;Acne Keloid;D000153
C17.800;Acne Keloid;D000153
C09.218;Vestibulocochlear Nerve Diseases;D000160
C10.292;Vestibulocochlear Nerve Diseases;D000160
C02.782;Acquired Immunodeficiency Syndrome;D000163
C02.800;Acquired Immunodeficiency Syndrome;D000163
C02.839;Acquired Immunodeficiency Syndrome;D000163
C20.673;Acquired Immunodeficiency Syndrome;D000163
C05.116;Acrocephalosyndactylia;D000168
C05.660;Acrocephalosyndactylia;D000168
C16.131;Acrocephalosyndactylia;D000168
C16.131;Acrodermatitis;D000169
C17.800;Acrodermatitis;D000169
C10.668;Acrodynia;D000170
C10.720;Acrodynia;D000170
C25.723;Acrodynia;D000170
C05.116;Acromegaly;D000172
C10.228;Acromegaly;D000172
C19.700;Acromegaly;D000172
C04.730;ACTH Syndrome, Ectopic;D000182
C01.252;Actinobacillosis;D000187
C01.252;Actinobacillus Infections;D000189
C01.252;Actinomycetales Infections;D000193
C01.252;Actinomycosis;D000196
C01.252;Actinomycosis, Cervicofacial;D000197
C01.539;Actinomycosis, Cervicofacial;D000197
C17.800;Actinomycosis, Cervicofacial;D000197
C14.280;Adams-Stokes Syndrome;D000219
C19.053;Addison Disease;D000224
C20.111;Addison Disease;D000224
C04.557;Adenocarcinoma;D000230
C04.557;Adenocarcinoma, Papillary;D000231
C04.557;Adenofibroma;D000232
C04.557;Adenolymphoma;D000235
C04.557;Adenoma;D000236
C04.557;Adenoma, Basophil;D000237
C04.557;Adenoma, Chromophobe;D000238
C04.557;Adenoma, Acidophil;D000239
C02.256;Adenoviridae Infections;D000257
C02.256;Adenovirus Infections, Human;D000258
C10.177;Adie Syndrome;D000270
C10.292;Adie Syndrome;D000270
C11.590;Adie Syndrome;D000270
C11.710;Adie Syndrome;D000270
C17.800;Adiposis Dolorosa;D000274
C18.452;Adiposis Dolorosa;D000274
C13.351;Adnexal Diseases;D000291
C01.539;Pelvic Inflammatory Disease;D000292
C13.351;Pelvic Inflammatory Disease;D000292
C19.053;Adrenal Cortex Diseases;D000303
C04.588;Adrenal Cortex Neoplasms;D000306
C19.053;Adrenal Cortex Neoplasms;D000306
C19.344;Adrenal Cortex Neoplasms;D000306
C19.053;Adrenal Gland Diseases;D000307
C19.053;Adrenocortical Hyperfunction;D000308
C19.053;Adrenal Insufficiency;D000309
C04.588;Adrenal Gland Neoplasms;D000310
C19.053;Adrenal Gland Neoplasms;D000310
C19.344;Adrenal Gland Neoplasms;D000310
C12.706;Adrenal Hyperplasia, Congenital;D000312
C13.351;Adrenal Hyperplasia, Congenital;D000312
C16.131;Adrenal Hyperplasia, Congenital;D000312
C16.320;Adrenal Hyperplasia, Congenital;D000312
C18.452;Adrenal Hyperplasia, Congenital;D000312
C19.053;Adrenal Hyperplasia, Congenital;D000312
C19.391;Adrenal Hyperplasia, Congenital;D000312
C04.557;Adrenal Rest Tumor;D000314
C10.228;Adrenoleukodystrophy;D000326
C10.314;Adrenoleukodystrophy;D000326
C10.597;Adrenoleukodystrophy;D000326
C16.320;Adrenoleukodystrophy;D000326
C18.452;Adrenoleukodystrophy;D000326
C19.053;Adrenoleukodystrophy;D000326
C06.405;Afferent Loop Syndrome;D000343
C15.378;Afibrinogenemia;D000347
C16.320;Afibrinogenemia;D000347
C02.081;African Horse Sickness;D000355
C02.782;African Horse Sickness;D000355
C02.081;African Swine Fever;D000357
C02.256;African Swine Fever;D000357
C15.378;Agammaglobulinemia;D000361
C15.604;Agammaglobulinemia;D000361
C20.673;Agammaglobulinemia;D000361
C10.597;Ageusia;D000370
C10.597;Agnosia;D000377
C15.378;Agranulocytosis;D000380
C10.597;Agraphia;D000381
C24.080;Agricultural Workers' Diseases;D000382
C02.782;AIDS-Related Complex;D000386
C02.800;AIDS-Related Complex;D000386
C02.839;AIDS-Related Complex;D000386
C20.673;AIDS-Related Complex;D000386
C05.116;Ainhum;D000387
C08.618;Airway Obstruction;D000402
C10.228;Akinetic Mutism;D000405
C11.270;Albinism;D000417
C16.320;Albinism;D000417
C17.800;Albinism;D000417
C18.452;Albinism;D000417
C12.777;Albuminuria;D000419
C13.351;Albuminuria;D000419
C10.720;Alcohol Amnestic Disorder;D000425
C25.100;Alcohol Amnestic Disorder;D000425
C25.723;Alcohol Amnestic Disorder;D000425
C10.720;Alcohol Withdrawal Delirium;D000430
C25.100;Alcohol Withdrawal Delirium;D000430
C25.723;Alcohol Withdrawal Delirium;D000430
C25.835;Alcohol Withdrawal Delirium;D000430
C25.100;Alcoholic Intoxication;D000435
C25.100;Alcoholism;D000437
C02.256;Aleutian Mink Disease;D000453
C02.839;Aleutian Mink Disease;D000453
C20.673;Aleutian Mink Disease;D000453
C18.452;Alkalosis;D000471
C08.618;Alkalosis, Respiratory;D000472
C18.452;Alkalosis, Respiratory;D000472
C16.320;Alkaptonuria;D000474
C18.452;Alkaptonuria;D000474
C17.800;Alopecia;D000505
C17.800;Alopecia Areata;D000506
C17.300;Mucinosis, Follicular;D000507
C17.800;Mucinosis, Follicular;D000507
C08.618;Altitude Sickness;D000532
C08.381;Alveolitis, Extrinsic Allergic;D000542
C08.674;Alveolitis, Extrinsic Allergic;D000542
C20.543;Alveolitis, Extrinsic Allergic;D000542
C10.228;Alzheimer Disease;D000544
C10.574;Alzheimer Disease;D000544
C10.228;Amblyopia;D000550
C10.597;Amblyopia;D000550
C11.966;Amblyopia;D000550
C03.752;Amebiasis;D000562
C04.557;Ameloblastoma;D000564
C07.650;Amelogenesis Imperfecta;D000567
C07.793;Amelogenesis Imperfecta;D000567
C16.131;Amelogenesis Imperfecta;D000567
C16.320;Amino Acid Metabolism, Inborn Errors;D000592
C18.452;Amino Acid Metabolism, Inborn Errors;D000592
C12.777;Renal Aminoacidurias;D000608
C13.351;Renal Aminoacidurias;D000608
C16.320;Renal Aminoacidurias;D000608
C18.452;Renal Aminoacidurias;D000608
C10.597;Amnesia;D000647
C10.597;Amnesia, Retrograde;D000648
C16.614;Amniotic Band Syndrome;D000652
C26.062;Amputation, Traumatic;D000673
C18.452;Amyloidosis;D000686
C10.228;Amyotrophic Lateral Sclerosis;D000690
C10.574;Amyotrophic Lateral Sclerosis;D000690
